/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=10500 loss=0.031654 time=0.026270 fft=0.006345
step=10600 loss=0.042103 time=0.034764 fft=0.008650
step=10700 loss=0.039633 time=0.032842 fft=0.008002
step=10800 loss=0.040216 time=0.033322 fft=0.008125
step=10900 loss=0.049274 time=0.041089 fft=0.009646
step=11000 loss=0.039507 time=0.032699 fft=0.008023
step=11000 val_loss=0.036266
step=11100 loss=0.040128 time=0.033154 fft=0.008218
step=11200 loss=0.041199 time=0.034127 fft=0.008334
step=11300 loss=0.039119 time=0.032279 fft=0.008061
step=11400 loss=0.041253 time=0.034267 fft=0.008233
step=11500 loss=0.036970 time=0.030648 fft=0.007450
step=11600 loss=0.036368 time=0.030094 fft=0.007394
step=11700 loss=0.041609 time=0.034411 fft=0.008484
step=11800 loss=0.034680 time=0.028637 fft=0.007122
step=11900 loss=0.042033 time=0.034888 fft=0.008420
step=12000 loss=0.040773 time=0.033729 fft=0.008301
step=12000 val_loss=0.035999
step=12100 loss=0.037826 time=0.031235 fft=0.007768
step=12200 loss=0.040228 time=0.033404 fft=0.008042
step=12300 loss=0.037946 time=0.031474 fft=0.007627
step=12400 loss=0.030672 time=0.025482 fft=0.006116
step=12500 loss=0.044813 time=0.037387 fft=0.008752
step=12600 loss=0.040732 time=0.033807 fft=0.008162
step=12700 loss=0.039009 time=0.032322 fft=0.007881
step=12800 loss=0.040947 time=0.034134 fft=0.008029
step=12900 loss=0.038038 time=0.031541 fft=0.007657
step=13000 loss=0.042502 time=0.035290 fft=0.008499
step=13000 val_loss=0.035704
step=13100 loss=0.041217 time=0.034037 fft=0.008462
step=13200 loss=0.040500 time=0.033331 fft=0.008449
step=13300 loss=0.037757 time=0.031233 fft=0.007689
step=13400 loss=0.038851 time=0.032161 fft=0.007885
step=13500 loss=0.036668 time=0.030304 fft=0.007501
step=13600 loss=0.039713 time=0.032875 fft=0.008058
step=13700 loss=0.034542 time=0.028760 fft=0.006815
step=13800 loss=0.040643 time=0.033670 fft=0.008218
step=13900 loss=0.041337 time=0.034424 fft=0.008148
step=14000 loss=0.038783 time=0.032038 fft=0.007949
step=14000 val_loss=0.035509
step=14100 loss=0.040156 time=0.033233 fft=0.008159
step=14200 loss=0.034580 time=0.028787 fft=0.006827
step=14300 loss=0.040191 time=0.033277 fft=0.008149
step=14400 loss=0.034757 time=0.028684 fft=0.007157
step=14500 loss=0.039881 time=0.033264 fft=0.007798
step=14600 loss=0.035571 time=0.029457 fft=0.007205
step=14700 loss=0.035316 time=0.029144 fft=0.007274
step=14800 loss=0.041228 time=0.034046 fft=0.008464
step=14900 loss=0.037409 time=0.031126 fft=0.007405
step=15000 loss=0.035688 time=0.029475 fft=0.007322
step=15000 val_loss=0.035452
