/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=2180 loss=0.099151 time=0.083261 fft=0.018726
step=2200 loss=0.098649 time=0.083305 fft=0.018084
step=2220 loss=0.087147 time=0.073576 fft=0.015994
step=2240 loss=0.099736 time=0.083891 fft=0.018673
step=2260 loss=0.102123 time=0.085678 fft=0.019381
step=2280 loss=0.094628 time=0.079985 fft=0.017256
step=2300 loss=0.099013 time=0.083623 fft=0.018138
step=2320 loss=0.094442 time=0.079420 fft=0.017704
step=2340 loss=0.090036 time=0.075903 fft=0.016656
step=2360 loss=0.089706 time=0.075563 fft=0.016667
step=2380 loss=0.091939 time=0.076997 fft=0.017610
step=2400 loss=0.097565 time=0.082114 fft=0.018210
step=2420 loss=0.087347 time=0.073482 fft=0.016340
step=2440 loss=0.092538 time=0.077787 fft=0.017384
step=2460 loss=0.103644 time=0.087152 fft=0.019436
step=2480 loss=0.088382 time=0.074188 fft=0.016728
step=2500 loss=0.098281 time=0.082736 fft=0.018320
step=2500 val_loss=0.089360
step=2520 loss=0.088205 time=0.074157 fft=0.016556
step=2540 loss=0.088090 time=0.074016 fft=0.016586
step=2560 loss=0.085696 time=0.072385 fft=0.015688
step=2580 loss=0.098166 time=0.082641 fft=0.018297
step=2600 loss=0.087035 time=0.073360 fft=0.016116
step=2620 loss=0.092133 time=0.077697 fft=0.017012
step=2640 loss=0.092041 time=0.077317 fft=0.017353
step=2660 loss=0.088330 time=0.074711 fft=0.016051
step=2680 loss=0.087707 time=0.073983 fft=0.016174
step=2700 loss=0.094094 time=0.078674 fft=0.018172
step=2720 loss=0.096355 time=0.081159 fft=0.017910
step=2740 loss=0.095686 time=0.080305 fft=0.018126
step=2760 loss=0.084610 time=0.070986 fft=0.016056
step=2780 loss=0.086573 time=0.073100 fft=0.015878
step=2800 loss=0.093417 time=0.078738 fft=0.017300
step=2820 loss=0.091812 time=0.077250 fft=0.017161
step=2840 loss=0.088137 time=0.073917 fft=0.016758
step=2860 loss=0.093532 time=0.078541 fft=0.017666
step=2880 loss=0.088660 time=0.074744 fft=0.016401
step=2900 loss=0.091535 time=0.076572 fft=0.017635
step=2920 loss=0.084647 time=0.071038 fft=0.016038
step=2940 loss=0.092782 time=0.078001 fft=0.017420
step=2960 loss=0.093966 time=0.079103 fft=0.017516
step=2980 loss=0.089416 time=0.075300 fft=0.016636
step=3000 loss=0.089426 time=0.075108 fft=0.016874
step=3000 val_loss=0.088092
step=3020 loss=0.090943 time=0.076485 fft=0.017039
step=3040 loss=0.096080 time=0.080720 fft=0.018102
step=3060 loss=0.085767 time=0.072154 fft=0.016043
step=3080 loss=0.088183 time=0.074079 fft=0.016621
step=3100 loss=0.090193 time=0.075683 fft=0.017099
step=3120 loss=0.088167 time=0.074320 fft=0.016319
step=3140 loss=0.088652 time=0.074435 fft=0.016755
step=3160 loss=0.091269 time=0.076825 fft=0.017022
step=3180 loss=0.095765 time=0.080568 fft=0.017910
step=3200 loss=0.090568 time=0.075820 fft=0.017381
step=3220 loss=0.088592 time=0.074414 fft=0.016708
step=3240 loss=0.090416 time=0.076069 fft=0.016907
step=3260 loss=0.079404 time=0.066738 fft=0.014926
step=3280 loss=0.092830 time=0.077861 fft=0.017642
step=3300 loss=0.086754 time=0.072957 fft=0.016260
step=3320 loss=0.081220 time=0.068424 fft=0.015080
step=3340 loss=0.088502 time=0.074010 fft=0.017079
step=3360 loss=0.094682 time=0.079709 fft=0.017646
step=3380 loss=0.088453 time=0.074406 fft=0.016554
step=3400 loss=0.085631 time=0.071813 fft=0.016285
